scenario,n,replication,status,method,bandwidth_multiplier,coordinate,coordinate_name,estimate,target,target_mcse,error,squared_error,estimated_se,coverage_95,interval_width_95,curvature_min_eigenvalue,fit_seconds,fit_initialization,fit_classification_objective,fit_objective_gap,fit_admissible_candidates,fit_total_candidates,fit_selected_admissible,fit_minimum_weight,minimum_kernel_support,bandwidth_diagnostics,boundary_shrinkage_factor,raw_generalized_boundary_eigenvalue,error_message
nsn_p2_moderate_balanced,2000,2,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,3.9241649369942015,kmeans,-3.2257767331401204,0.0240324825208579,4.0,4.0,True,0.4975,,,1.0,1.0169044408926315,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0102546.
nsn_p2_moderate_balanced,2000,36,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,3.64491709205322,kmeans,-3.2472033160155545,0.0261420224800597,4.0,4.0,True,0.488,,,1.0,1.488327185141813,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0139486.
nsn_p2_moderate_balanced,2000,36,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,3.64491709205322,kmeans,-3.2472033160155545,0.0261420224800597,4.0,4.0,True,0.488,,,1.0,1.328405977243903,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00680122.
nsn_p2_moderate_balanced,2000,36,corrected_raw_failed,corrected_raw,1.5,,,,,,,,,,,,3.64491709205322,kmeans,-3.2472033160155545,0.0261420224800597,4.0,4.0,True,0.488,,,1.0,1.1642312717385668,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00281122.
nsn_p2_moderate_balanced,2000,43,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,3.674574872944504,kmeans,-3.245749773959441,0.0215907289570798,4.0,4.0,True,0.492,,,1.0,1.3465205105131122,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00652888.
nsn_p2_moderate_balanced,2000,43,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,3.674574872944504,kmeans,-3.245749773959441,0.0215907289570798,4.0,4.0,True,0.492,,,1.0,1.0887080868464698,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000887397.
nsn_p2_moderate_balanced,2000,87,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,4.084995448007248,kmeans,-3.27419620617902,0.0,4.0,4.0,True,0.499,,,1.0,2.014124057075238,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.116732.
nsn_p2_moderate_balanced,2000,87,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,4.084995448007248,kmeans,-3.27419620617902,0.0,4.0,4.0,True,0.499,,,1.0,1.6963186078585577,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.058301.
nsn_p2_moderate_balanced,2000,87,corrected_raw_failed,corrected_raw,1.5,,,,,,,,,,,,4.084995448007248,kmeans,-3.27419620617902,0.0,4.0,4.0,True,0.499,,,1.0,1.4570695039842954,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.021871.
nsn_p2_moderate_balanced,2000,90,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,3.880367989069782,kmeans,-3.2221804929764737,0.0309033754952543,4.0,4.0,True,0.4755,,,1.0,2.1254274966533915,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0860688.
